Mask Mandate,Social Distancing,Mobility Level,Population Density,Cases Per Capita,Current Phase,Future Phase,support,confidence,lift,chi_squared
M,Phase 3,,1,L,,Phase 2,0.005714285714285714,0.1935483870967742,0.4781783681214421,5.91466128380505
M,Phase 3,,1,L,Phase 2,Phase 2,0.004761904761904762,0.7142857142857143,1.7647058823529411,2.8022108172127917
N,Phase 3,,1,L,,Phase 2,0.0019047619047619048,0.3333333333333333,0.8235294117647058,0.12778904665314408
N,Phase 3,,1,L,Phase 2,Phase 2,0.0009523809523809524,0.5,1.2352941176470589,0.07543780871127079
,Phase 3,,1,L,,Phase 1,0.01904761904761905,0.4761904761904762,1.5576323987538943,5.99034118345876
M,Phase 3,,1,L,,Phase 1,0.018095238095238095,0.6129032258064516,2.004823635815496,14.201492777481754
,,,1,L,Phase 3,Phase 1,0.008571428571428572,0.20454545454545456,0.6690739167374682,2.2145398375556358
N,,,1,L,Phase 3,Phase 1,0.004761904761904762,0.20833333333333334,0.6814641744548287,1.0973552674124922
,Phase 0,,1,L,Phase 3,Phase 1,0.0038095238095238095,0.2105263157894737,0.6886374815543532,0.826027301333154
N,Phase 0,,1,L,Phase 3,Phase 1,0.0038095238095238095,0.26666666666666666,0.8722741433021807,0.10931389298107638
M,,,1,L,Phase 3,Phase 1,0.0038095238095238095,0.25,0.8177570093457944,0.2376117508350556
,Phase 3,,1,L,Phase 3,Phase 1,0.0009523809523809524,0.09090909090909091,0.29736618521665253,2.4165847703637153
M,Phase 3,,1,L,Phase 3,Phase 1,0.0009523809523809524,0.25,0.8177570093457944,0.058721450851684384
,,,1,L,Phase 3,Phase 2,0.002857142857142857,0.06818181818181819,0.16844919786096257,21.593869935467414
M,,,1,L,Phase 3,Phase 2,0.002857142857142857,0.1875,0.4632352941176471,3.1832119695073393
,Phase 3,,1,L,Phase 3,Phase 2,0.0009523809523809524,0.09090909090909091,0.22459893048128343,4.544939858872939
M,Phase 3,,1,L,Phase 3,Phase 2,0.0009523809523809524,0.25,0.6176470588235294,0.3991676976718029
M,,H,1,L,,Phase 1,0.006666666666666667,0.7777777777777778,2.544132917964694,9.530769051063496
,,H,1,L,,Phase 2,0.006666666666666667,0.28,0.691764705882353,1.6545469153515064
M,,H,1,L,,Phase 2,0.0019047619047619048,0.2222222222222222,0.5490196078431372,1.2554670283098837
,Phase 3,H,1,L,,Phase 2,0.0009523809523809524,0.125,0.3088235294117647,2.618776109292085
M,Phase 3,H,1,L,,Phase 2,0.0009523809523809524,0.16666666666666666,0.4117647058823529,1.419878296146045
N,,H,1,L,,Phase 2,0.0038095238095238095,0.26666666666666666,0.6588235294117647,1.2045012787723786
,,H,1,L,Phase 1,Phase 2,0.002857142857142857,0.3333333333333333,0.8235294117647058,0.19223597219867783
N,,H,1,L,Phase 1,Phase 2,0.002857142857142857,0.75,1.8529411764705883,1.9863907322011025
,,H,1,L,Phase 2,Phase 2,0.0038095238095238095,0.6666666666666666,1.6470588235294117,1.718052738336714
M,,H,1,L,Phase 2,Phase 2,0.0019047619047619048,1.0,2.4705882352941178,2.946789402784014
M,Phase 3,H,1,L,Phase 2,Phase 2,0.0009523809523809524,1.0,2.4705882352941178,1.4719901306566479
N,,H,1,L,Phase 2,Phase 2,0.0009523809523809524,0.3333333333333333,0.8235294117647058,0.06371144446317212
,Phase 3,H,1,L,Phase 2,Phase 2,0.0009523809523809524,0.5,1.2352941176470589,0.07543780871127079
,,H,1,L,,Phase 1,0.012380952380952381,0.52,1.7009345794392523,5.540359141909176
N,,H,1,L,,Phase 1,0.005714285714285714,0.4,1.3084112149532712,0.6373500684756277
,Phase 3,H,1,L,,Phase 1,0.004761904761904762,0.6250000000000001,2.044392523364486,3.871832664637659
M,Phase 3,H,1,L,,Phase 1,0.004761904761904762,0.8333333333333334,2.7258566978193146,7.914564441302804
,Phase 3,H,1,L,Phase 1,Phase 1,0.0038095238095238095,1.0,3.2710280373831777,9.11885062811601
M,Phase 3,H,1,L,Phase 1,Phase 1,0.0038095238095238095,1.0,3.2710280373831777,9.11885062811601
,,H,1,L,Phase 1,Phase 1,0.005714285714285714,0.6666666666666666,2.1806853582554515,5.572203108570307
M,,H,1,L,Phase 1,Phase 1,0.004761904761904762,1.0,3.2710280373831777,11.409471001207352
N,,H,1,L,Phase 1,Phase 1,0.0009523809523809524,0.25,0.8177570093457944,0.058721450851684384
,Phase 0,H,1,L,,Phase 2,0.002857142857142857,0.5,1.2352941176470589,0.22718052738336722
N,Phase 0,H,1,L,,Phase 2,0.002857142857142857,0.5,1.2352941176470589,0.22718052738336722
,Phase 0,H,1,L,Phase 1,Phase 2,0.002857142857142857,1.0,2.4705882352941178,4.424405865498062
N,Phase 0,H,1,L,Phase 1,Phase 2,0.002857142857142857,1.0,2.4705882352941178,4.424405865498062
,Phase 0,H,1,L,,Phase 1,0.0019047619047619048,0.3333333333333333,1.0903426791277258,0.021687200064954722
,Phase 0,H,1,L,Phase 3,Phase 1,0.0019047619047619048,0.6666666666666666,2.1806853582554515,1.8467569041775516
N,Phase 0,H,1,L,,Phase 1,0.0019047619047619048,0.3333333333333333,1.0903426791277258,0.021687200064954722
N,Phase 0,H,1,L,Phase 3,Phase 1,0.0019047619047619048,0.6666666666666666,2.1806853582554515,1.8467569041775516
